start_time,	pre_process,	bird_view,	sliding_windows,	draw_lane,	run_time
1546768695.48,	0.00324702262878,	0.00264310836792,	0.0238609313965,	0.00379991531372,	1546768695.7
1546768695.7,	0.0025680065155,	0.00367212295532,	0.0106649398804,	0.0066831111908,	1546768695.73
1546768695.75,	0.00243306159973,	0.00274896621704,	0.0147290229797,	0.00359201431274,	1546768695.78
1546768695.82,	0.00254416465759,	0.00264978408813,	0.00825715065002,	0.00503897666931,	1546768695.84
1546768695.86,	0.00185418128967,	0.00246691703796,	0.00827288627625,	0.0054771900177,	1546768695.88
1546768695.88,	0.00600290298462,	0.00450706481934,	0.00539588928223,	0.00259804725647,	1546768695.91
1546768695.91,	0.00190210342407,	0.00614500045776,	0.0111229419708,	0.00278401374817,	1546768695.94
1546768695.95,	0.00187397003174,	0.00401592254639,	0.0101101398468,	0.00256586074829,	1546768695.97
1546768695.97,	0.00208592414856,	0.00354099273682,	0.0095911026001,	0.00424790382385,	1546768696.0
1546768696.0,	0.00299906730652,	0.0045108795166,	0.00832414627075,	0.00238990783691,	1546768696.02
1546768696.03,	0.00209903717041,	0.002436876297,	0.0124781131744,	0.00289106369019,	1546768696.05
1546768696.06,	0.00371408462524,	0.00547695159912,	0.00972414016724,	0.00441002845764,	1546768696.08
1546768696.09,	0.00310897827148,	0.00579190254211,	0.0100030899048,	0.00393986701965,	1546768696.11
1546768696.13,	0.00303411483765,	0.00346302986145,	0.00817108154297,	0.00276398658752,	1546768696.15
1546768696.16,	0.00185084342957,	0.00638508796692,	0.0114431381226,	0.0025269985199,	1546768696.18
1546768696.19,	0.00202584266663,	0.0048201084137,	0.00566792488098,	0.00242400169373,	1546768696.2
1546768696.21,	0.00185108184814,	0.00248694419861,	0.0069899559021,	0.0042941570282,	1546768696.23
1546768696.25,	0.00292110443115,	0.00280499458313,	0.00717401504517,	0.00389981269836,	1546768696.27
1546768696.27,	0.00614500045776,	0.00221514701843,	0.00723791122437,	0.00691199302673,	1546768696.29
1546768696.3,	0.00202608108521,	0.00624895095825,	0.00606393814087,	0.00497102737427,	1546768696.32
1546768696.33,	0.0023410320282,	0.00416088104248,	0.0122981071472,	0.00300192832947,	1546768696.35
1546768696.35,	0.00562596321106,	0.00278687477112,	0.00624704360962,	0.0029411315918,	1546768696.37
1546768696.38,	0.00192093849182,	0.00250005722046,	0.0136790275574,	0.00279307365417,	1546768696.41
1546768696.41,	0.00209212303162,	0.00263690948486,	0.0129060745239,	0.00391888618469,	1546768696.44
1546768696.45,	0.00213003158569,	0.00347590446472,	0.00942587852478,	0.0034191608429,	1546768696.47
1546768696.47,	0.00363111495972,	0.00313901901245,	0.00660490989685,	0.00248599052429,	1546768696.49
1546768696.5,	0.00340294837952,	0.00949597358704,	0.00747108459473,	0.00329089164734,	1546768696.52
1546768696.54,	0.00223302841187,	0.00270700454712,	0.00837707519531,	0.00288081169128,	1546768696.57
1546768696.57,	0.00208401679993,	0.00394606590271,	0.0133409500122,	0.0036780834198,	1546768696.6
1546768696.61,	0.00216794013977,	0.00211906433105,	0.0103139877319,	0.00449395179749,	1546768696.63
1546768696.64,	0.00200700759888,	0.00638604164124,	0.0118899345398,	0.00231409072876,	1546768696.66
1546768696.67,	0.0019998550415,	0.00196504592896,	0.0107591152191,	0.00407695770264,	1546768696.69
1546768696.71,	0.0023341178894,	0.00352597236633,	0.00904393196106,	0.00487399101257,	1546768696.73
1546768696.73,	0.00189685821533,	0.00667595863342,	0.0100140571594,	0.00548505783081,	1546768696.76
1546768696.77,	0.00683093070984,	0.00262117385864,	0.0103249549866,	0.00314402580261,	1546768696.79
1546768696.8,	0.00206089019775,	0.00305700302124,	0.00774598121643,	0.00235819816589,	1546768696.82
1546768696.82,	0.00213313102722,	0.00205397605896,	0.00843691825867,	0.00314593315125,	1546768696.84
1546768696.85,	0.00268983840942,	0.00424814224243,	0.0112860202789,	0.00235295295715,	1546768696.87
1546768696.89,	0.00189304351807,	0.01185297966,	0.00642609596252,	0.00841903686523,	1546768696.92
1546768696.93,	0.00257706642151,	0.00735092163086,	0.00587320327759,	0.00394892692566,	1546768696.96
1546768696.96,	0.00411701202393,	0.0104570388794,	0.0108349323273,	0.0027539730072,	1546768696.99
1546768697.01,	0.00179004669189,	0.00214385986328,	0.0155811309814,	0.00243091583252,	1546768697.03
1546768697.05,	0.00269603729248,	0.00253486633301,	0.00979900360107,	0.00246596336365,	1546768697.07
1546768697.07,	0.00215792655945,	0.00208115577698,	0.00657081604004,	0.00363516807556,	1546768697.09
1546768697.1,	0.00216293334961,	0.00447392463684,	0.00839400291443,	0.00291013717651,	1546768697.12
1546768697.13,	0.0021607875824,	0.0026330947876,	0.0114529132843,	0.0019211769104,	1546768697.15
1546768697.16,	0.00219106674194,	0.00232696533203,	0.00881791114807,	0.00425720214844,	1546768697.18
